manufacturer,productName,releaseYear,memSize,memBusWidth,gpuClock,memClock,bus,memType,G3Dmark
NVIDIA,GeForce MX550,2022,2.0,64,1065,1500,PCIe 4.0 x8,GDDR6,5090
NVIDIA,GeForce RTX 3090 Ti,2022,24.0,384,1560,1313,PCIe 4.0 x16,GDDR6X,29094
AMD,Radeon RX 6400,2022,4.0,64,1923,2000,PCIe 4.0 x4,GDDR6,6958
AMD,Radeon RX 6500 XT,2022,4.0,64,2310,2248,PCIe 4.0 x4,GDDR6,9445
AMD,Radeon RX 6700S,2022,8.0,128,1700,1750,PCIe 4.0 x8,GDDR6,11989
NVIDIA,GeForce RTX 3060,2021,12.0,192,1320,1875,PCIe 4.0 x16,GDDR6,16958
NVIDIA,GeForce RTX 3070 Ti,2021,8.0,256,1575,1188,PCIe 4.0 x16,GDDR6X,23367
NVIDIA,GeForce RTX 3080 Ti,2021,12.0,384,1365,1188,PCIe 4.0 x16,GDDR6X,26887
AMD,Radeon RX 6600,2021,8.0,128,1626,1750,PCIe 4.0 x8,GDDR6,13881
AMD,Radeon RX 6600 XT,2021,8.0,128,1968,2000,PCIe 4.0 x8,GDDR6,15853
AMD,Radeon RX 6600M,2021,8.0,128,2068,1750,PCIe 4.0 x8,GDDR6,9094
AMD,Radeon RX 6700 XT,2021,12.0,192,2321,2000,PCIe 4.0 x16,GDDR6,18993
AMD,Radeon RX 6700M,2021,10.0,160,1489,2000,PCIe 4.0 x16,GDDR6,11499
AMD,Radeon RX 6800M,2021,12.0,192,2116,2000,PCIe 4.0 x16,GDDR6,9012
NVIDIA,RTX A2000,2021,6.0,192,562,1500,PCIe 4.0 x16,GDDR6,13128
NVIDIA,RTX A4000,2021,16.0,256,735,1750,PCIe 4.0 x16,GDDR6,18988
NVIDIA,RTX A4500,2021,20.0,320,1050,2000,PCIe 4.0 x16,GDDR6,21546
NVIDIA,RTX A5000,2021,24.0,384,1170,2000,PCIe 4.0 x16,GDDR6,22867
NVIDIA,T1000,2021,4.0,128,1065,1250,PCIe 3.0 x16,GDDR6,7829
NVIDIA,T400,2021,2.0,64,420,1250,PCIe 3.0 x16,GDDR6,3627
NVIDIA,T600,2021,4.0,128,735,1250,PCIe 3.0 x16,GDDR6,6509
NVIDIA,GeForce MX330,2020,2.0,64,1531,1752,PCIe 3.0 x4,GDDR5,2547
NVIDIA,GeForce MX350,2020,2.0,64,1354,1752,PCIe 3.0 x4,GDDR5,2855
NVIDIA,GeForce MX350,2020,2.0,64,747,1752,PCIe 3.0 x4,GDDR5,2855
NVIDIA,GeForce RTX 3060 Ti,2020,8.0,256,1410,1750,PCIe 4.0 x16,GDDR6,20206
NVIDIA,GeForce RTX 3070,2020,8.0,256,1500,1750,PCIe 4.0 x16,GDDR6,22093
NVIDIA,GeForce RTX 3080,2020,10.0,320,1440,1188,PCIe 4.0 x16,GDDR6X,24853
NVIDIA,GeForce RTX 3090,2020,24.0,384,1395,1219,PCIe 4.0 x16,GDDR6X,26395
AMD,Radeon Pro 5300,2020,4.0,128,1000,1750,PCIe 4.0 x8,GDDR6,7522
AMD,Radeon Pro 5500 XT,2020,8.0,128,1187,1750,PCIe 4.0 x8,GDDR6,8298
AMD,Radeon Pro 5600M,2020,8.0,2048,1000,770,PCIe 4.0 x16,HBM2,10200
AMD,Radeon Pro 5700,2020,8.0,256,1243,1500,PCIe 4.0 x16,GDDR6,11844
AMD,Radeon Pro 5700 XT,2020,16.0,256,1243,1500,PCIe 4.0 x16,GDDR6,12537
AMD,Radeon Pro VII,2020,16.0,4096,1400,1000,PCIe 4.0 x16,HBM2,16853
AMD,Radeon Pro W5500,2020,8.0,128,1744,1750,PCIe 4.0 x8,GDDR6,9269
AMD,Radeon Pro W5500M,2020,4.0,128,1000,1750,PCIe 4.0 x8,GDDR6,2010
AMD,Radeon RX 5300,2020,3.0,96,1327,1750,PCIe 4.0 x8,GDDR6,7611
AMD,Radeon RX 5600 XT,2020,6.0,192,1130,1500,PCIe 4.0 x16,GDDR6,13836
AMD,Radeon RX 5600M,2020,6.0,192,1035,1500,PCIe 4.0 x16,GDDR6,7157
AMD,Radeon RX 6800,2020,16.0,256,1700,2000,PCIe 4.0 x16,GDDR6,20667
AMD,Radeon RX 6800 XT,2020,16.0,256,1825,2000,PCIe 4.0 x16,GDDR6,23364
AMD,Radeon RX 6900 XT,2020,16.0,256,1825,2000,PCIe 4.0 x16,GDDR6,25458
NVIDIA,RTX A6000,2020,48.0,384,1410,2000,PCIe 4.0 x16,GDDR6,22122
NVIDIA,GeForce GTX 1650,2019,4.0,128,1485,2001,PCIe 3.0 x16,GDDR5,7807
NVIDIA,GeForce GTX 1650 SUPER,2019,4.0,128,1530,1500,PCIe 3.0 x16,GDDR6,10032
NVIDIA,GeForce GTX 1660,2019,6.0,192,1530,2001,PCIe 3.0 x16,GDDR5,11695
NVIDIA,GeForce GTX 1660 SUPER,2019,6.0,192,1530,1750,PCIe 3.0 x16,GDDR6,12732
NVIDIA,GeForce GTX 1660 Ti,2019,6.0,192,1500,1500,PCIe 3.0 x16,GDDR6,11794
NVIDIA,GeForce MX230,2019,2.0,64,1519,1502,PCIe 3.0 x4,GDDR5,1884
NVIDIA,GeForce MX250,2019,2.0,64,1519,1502,PCIe 3.0 x4,GDDR5,2515
NVIDIA,GeForce MX250,2019,2.0,64,937,1502,PCIe 3.0 x4,GDDR5,2515
NVIDIA,GeForce RTX 2060,2019,6.0,192,1365,1750,PCIe 3.0 x16,GDDR6,13953
NVIDIA,GeForce RTX 2060 SUPER,2019,8.0,256,1470,1750,PCIe 3.0 x16,GDDR6,16514
NVIDIA,GeForce RTX 2070 SUPER,2019,8.0,256,1605,1750,PCIe 3.0 x16,GDDR6,18168
NVIDIA,GeForce RTX 2080 SUPER,2019,8.0,256,1650,1937,PCIe 3.0 x16,GDDR6,19519
NVIDIA,Quadro P2200,2019,5.0,160,1000,1251,PCIe 3.0 x16,GDDR5X,9486
AMD,Radeon 550X,2019,2.0,128,1082,1750,PCIe 3.0 x8,GDDR5,1430
AMD,Radeon Pro 5300M,2019,4.0,128,1000,1500,PCIe 4.0 x8,GDDR6,5840
AMD,Radeon Pro 5500M,2019,8.0,128,1000,1500,PCIe 4.0 x8,GDDR6,6763
AMD,Radeon Pro 580X,2019,8.0,256,1100,1710,PCIe 3.0 x16,GDDR5,7540
AMD,Radeon Pro Vega 48,2019,8.0,2048,1200,786,PCIe 3.0 x16,HBM2,11504
AMD,Radeon Pro Vega 64X,2019,16.0,2048,1250,1000,PCIe 3.0 x16,HBM2,14630
AMD,Radeon Pro Vega II,2019,32.0,4096,1574,806,PCIe 3.0 x16,HBM2,14738
AMD,Radeon Pro W5700,2019,8.0,256,1400,1750,PCIe 4.0 x16,GDDR6,15085
AMD,Radeon Pro WX 3200,2019,4.0,128,1295,1500,PCIe 3.0 x8,GDDR5,2456
AMD,Radeon RX 5300M,2019,3.0,96,1000,1750,PCIe 4.0 x8,GDDR6,3562
AMD,Radeon RX 5500 XT,2019,4.0,128,1607,1750,PCIe 4.0 x8,GDDR6,9188
AMD,Radeon RX 5500M,2019,4.0,128,1375,1750,PCIe 4.0 x8,GDDR6,4010
AMD,Radeon RX 5700,2019,8.0,256,1465,1750,PCIe 4.0 x16,GDDR6,14729
AMD,Radeon RX 5700 XT,2019,8.0,256,1605,1750,PCIe 4.0 x16,GDDR6,16892
AMD,Radeon RX 5700 XT 50th Anniversary,2019,8.0,256,1680,1750,PCIe 4.0 x16,GDDR6,16650
AMD,Radeon VII,2019,16.0,4096,1400,1000,PCIe 3.0 x16,HBM2,16767
NVIDIA,GeForce RTX 2070,2018,8.0,256,1410,1750,PCIe 3.0 x16,GDDR6,16079
NVIDIA,GeForce RTX 2080,2018,8.0,256,1515,1750,PCIe 3.0 x16,GDDR6,18732
NVIDIA,GeForce RTX 2080 Ti,2018,11.0,352,1350,1750,PCIe 3.0 x16,GDDR6,21796
NVIDIA,Quadro GV100,2018,32.0,4096,1132,848,PCIe 3.0 x16,HBM2,17675
NVIDIA,Quadro P620,2018,2.0,128,1266,1252,PCIe 3.0 x16,GDDR5,3640
NVIDIA,Quadro RTX 4000,2018,8.0,256,1005,1625,PCIe 3.0 x16,GDDR6,15515
NVIDIA,Quadro RTX 5000,2018,16.0,256,1620,1750,PCIe 3.0 x16,GDDR6,16260
NVIDIA,Quadro RTX 6000,2018,24.0,384,1440,1750,PCIe 3.0 x16,GDDR6,19692
NVIDIA,Quadro RTX 8000,2018,48.0,384,1395,1750,PCIe 3.0 x16,GDDR6,19126
AMD,Radeon Pro 560X,2018,4.0,128,1004,1470,PCIe 3.0 x8,GDDR5,3678
AMD,Radeon Pro Vega 16,2018,4.0,1024,815,1200,PCIe 3.0 x16,HBM2,4683
AMD,Radeon Pro Vega 20,2018,4.0,1024,815,740,PCIe 3.0 x16,HBM2,5117
AMD,Radeon Pro WX 8200,2018,8.0,2048,1200,1000,PCIe 3.0 x16,HBM2,14110
AMD,Radeon Pro WX Vega M GL,2018,4.0,1024,931,700,IGP,HBM2,6049
AMD,Radeon RX 550X,2018,4.0,128,1100,1500,PCIe 3.0 x8,GDDR5,2370
AMD,Radeon RX 560X,2018,4.0,128,1175,1750,PCIe 3.0 x8,GDDR5,3181
AMD,Radeon RX 570X,2018,8.0,256,1168,1750,PCIe 3.0 x16,GDDR5,1923
AMD,Radeon RX 580 2048SP,2018,4.0,256,1168,1750,PCIe 3.0 x16,GDDR5,7768
AMD,Radeon RX 580X,2018,8.0,256,1257,2000,PCIe 3.0 x16,GDDR5,7798
AMD,Radeon RX 590,2018,8.0,256,1469,2000,PCIe 3.0 x16,GDDR5,9665
AMD,Radeon RX Vega M GH,2018,4.0,1024,1063,800,IGP,HBM2,6734
AMD,Radeon RX Vega M GL,2018,4.0,1024,931,700,IGP,HBM2,3315
NVIDIA,Tesla T4,2018,16.0,256,585,1250,PCIe 3.0 x16,GDDR6,11113
NVIDIA,TITAN RTX,2018,24.0,384,1350,1750,PCIe 3.0 x16,GDDR6,20169
NVIDIA,TITAN V CEO Edition,2018,32.0,4096,1200,848,PCIe 3.0 x16,HBM2,16988
NVIDIA,GeForce GT 1030,2017,2.0,64,1228,1502,PCIe 3.0 x4,GDDR5,2545
NVIDIA,GeForce GTX 1070 Ti,2017,8.0,256,1607,2002,PCIe 3.0 x16,GDDR5,14500
NVIDIA,GeForce GTX 1080 Ti,2017,11.0,352,1481,1376,PCIe 3.0 x16,GDDR5X,18284
NVIDIA,GeForce MX110,2017,2.0,64,978,1253,PCIe 3.0 x4,GDDR5,1469
NVIDIA,GeForce MX130,2017,2.0,64,1109,1253,PCIe 3.0 x4,GDDR5,1895
NVIDIA,GeForce MX150,2017,2.0,64,1469,1502,PCIe 3.0 x4,GDDR5,2310
NVIDIA,GeForce MX150,2017,2.0,64,937,1253,PCIe 3.0 x4,GDDR5,2310
NVIDIA,P104-100,2017,4.0,256,1607,1251,PCIe 3.0 x16,GDDR5X,4450
NVIDIA,P106-090,2017,3.0,192,1354,2002,PCIe 3.0 x16,GDDR5,2402
NVIDIA,P106-100,2017,6.0,192,1506,2002,PCIe 3.0 x16,GDDR5,5967
NVIDIA,Quadro P1000,2017,4.0,128,1266,1253,PCIe 3.0 x16,GDDR5,4466
NVIDIA,Quadro P1000,2017,4.0,128,1354,1502,PCIe 3.0 x16,GDDR5,4466
NVIDIA,Quadro P2000,2017,5.0,160,1076,1752,PCIe 3.0 x16,GDDR5,7096
NVIDIA,Quadro P400,2017,2.0,64,1228,1002,PCIe 3.0 x16,GDDR5,1614
NVIDIA,Quadro P4000,2017,8.0,256,1202,1901,PCIe 3.0 x16,GDDR5,11422
NVIDIA,Quadro P600,2017,2.0,128,1329,1002,PCIe 3.0 x16,GDDR5,3324
AMD,Radeon 550,2017,2.0,64,1100,1750,PCIe 3.0 x8,GDDR5,1959
AMD,Radeon Pro 555,2017,2.0,128,850,1275,PCIe 3.0 x8,GDDR5,3141
AMD,Radeon Pro 560,2017,4.0,128,907,1270,PCIe 3.0 x8,GDDR5,3475
AMD,Radeon Pro 570,2017,4.0,256,1000,1695,PCIe 3.0 x16,GDDR5,6337
AMD,Radeon Pro 580,2017,8.0,256,1100,1695,PCIe 3.0 x16,GDDR5,7753
AMD,Radeon Pro SSG,2017,16.0,2048,1440,945,PCIe 3.0 x16,HBM2,10498
AMD,Radeon Pro Vega 56,2017,8.0,2048,1138,786,PCIe 3.0 x16,HBM2,12386
AMD,Radeon Pro Vega 64,2017,16.0,2048,1250,786,PCIe 3.0 x16,HBM2,12402
AMD,Radeon Pro WX 2100,2017,2.0,64,925,1500,PCIe 3.0 x8,GDDR5,1755
AMD,Radeon Pro WX 3100,2017,4.0,128,925,1500,PCIe 3.0 x8,GDDR5,2627
AMD,Radeon Pro WX 9100,2017,16.0,2048,1200,945,PCIe 3.0 x16,HBM2,13241
AMD,Radeon RX 550,2017,2.0,128,1100,1750,PCIe 3.0 x8,GDDR5,2718
AMD,Radeon RX 560,2017,4.0,128,1175,1750,PCIe 3.0 x8,GDDR5,3594
AMD,Radeon RX 580,2017,8.0,256,1257,2000,PCIe 3.0 x16,GDDR5,8907
AMD,Radeon RX Vega 56,2017,8.0,2048,1156,800,PCIe 3.0 x16,HBM2,13636
AMD,Radeon RX Vega 64,2017,8.0,2048,1247,945,PCIe 3.0 x16,HBM2,14636
AMD,Radeon Vega Frontier Edition,2017,16.0,2048,1382,945,PCIe 3.0 x16,HBM2,13748
NVIDIA,TITAN V,2017,12.0,3072,1200,848,PCIe 3.0 x16,HBM2,18816
NVIDIA,TITAN Xp,2017,12.0,384,1405,1426,PCIe 3.0 x16,GDDR5X,19508
AMD,FirePro S7150,2016,8.0,256,920,1250,PCIe 3.0 x16,GDDR5,6276
NVIDIA,GeForce 920MX,2016,2.0,64,965,900,PCIe 3.0 x8,DDR3,1088
NVIDIA,GeForce 930MX,2016,2.0,64,952,900,PCIe 3.0 x8,DDR3,1302
NVIDIA,GeForce 940MX,2016,2.0,64,1004,1001,PCIe 3.0 x8,DDR3,1503
NVIDIA,GeForce 940MX,2016,2.0,64,795,1253,PCIe 3.0 x8,GDDR5,1503
NVIDIA,GeForce 940MX,2016,1.024,64,954,1253,PCIe 3.0 x8,GDDR5,1503
NVIDIA,GeForce 945M,2016,1.024,64,1006,1001,PCIe 3.0 x8,DDR3,1945
NVIDIA,GeForce 945M,2015,2.0,128,928,900,MXM-B (3.0),DDR3,1945
NVIDIA,GeForce GT 710,2016,1.024,64,810,898,PCIe 2.0 x16,DDR3,637
NVIDIA,GeForce GT 710,2014,2.0,64,954,900,PCIe 2.0 x8,DDR3,637
NVIDIA,GeForce GT 710,2014,2.0,64,954,900,PCIe 2.0 x8,DDR3,637
NVIDIA,GeForce GTX 1050,2016,2.0,128,1354,1752,PCIe 3.0 x16,GDDR5,5090
NVIDIA,GeForce GTX 1050 Ti,2016,4.0,128,1291,1752,PCIe 3.0 x16,GDDR5,6314
NVIDIA,GeForce GTX 1070,2016,8.0,256,1506,2002,PCIe 3.0 x16,GDDR5,13482
NVIDIA,GeForce GTX 1080,2016,8.0,256,1607,1251,PCIe 3.0 x16,GDDR5X,15265
NVIDIA,GeForce GTX 965M,2016,2.0,128,935,1253,MXM-B (3.0),GDDR5,3824
NVIDIA,GeForce GTX 965M,2015,4.0,128,935,1253,MXM-B (3.0),GDDR5,3824
NVIDIA,GeForce GTX 965M,2015,2.0,128,924,1253,MXM-B (3.0),GDDR5,3824
NVIDIA,GeForce GTX 965M,2015,2.0,128,540,1253,MXM-B (3.0),GDDR5,3824
NVIDIA,GRID M10-8Q,2016,8.0,128,1033,1300,PCIe 3.0 x16,GDDR5,2606
NVIDIA,Quadro GP100,2016,16.0,4096,1304,715,PCIe 3.0 x16,HBM2,16203
NVIDIA,Quadro M2000,2016,4.0,128,796,1653,PCIe 3.0 x16,GDDR5,3942
NVIDIA,Quadro M500M,2016,2.0,64,1029,900,MXM-A (3.0),DDR3,1098
NVIDIA,Quadro P5000,2016,16.0,256,1607,1127,PCIe 3.0 x16,GDDR5X,11976
NVIDIA,Quadro P6000,2016,24.0,384,1506,1127,PCIe 3.0 x16,GDDR5X,15811
AMD,Radeon Pro 450,2016,2.0,128,800,1270,PCIe 3.0 x8,GDDR5,2723
AMD,Radeon Pro 455,2016,2.0,128,855,1270,PCIe 3.0 x8,GDDR5,3113
AMD,Radeon Pro 460,2016,4.0,128,850,1270,PCIe 3.0 x8,GDDR5,3453
AMD,Radeon Pro Duo,2016,4.0,4096,1000,500,PCIe 3.0 x16,HBM,8324
AMD,Radeon Pro WX 4100,2016,4.0,128,1125,1500,PCIe 3.0 x8,GDDR5,3766
AMD,Radeon Pro WX 5100,2016,8.0,256,713,1250,PCIe 3.0 x16,GDDR5,5511
AMD,Radeon Pro WX 7100,2016,8.0,256,1188,1750,PCIe 3.0 x16,GDDR5,7822
AMD,Radeon R5 M420,2016,4.0,64,780,1000,PCIe 3.0 x8,DDR3,470
AMD,Radeon R5 M430,2016,4.0,64,1030,900,PCIe 3.0 x8,DDR3,649
AMD,Radeon R5 M430,2016,4.0,64,780,1000,PCIe 3.0 x8,DDR3,649
AMD,Radeon R5 M430,2016,2.0,64,780,1125,PCIe 3.0 x8,DDR3,649
AMD,Radeon R5 M435,2016,2.0,64,780,1125,PCIe 3.0 x8,GDDR5,796
AMD,Radeon R7 M440,2016,4.0,64,891,900,PCIe 3.0 x8,DDR3,862
AMD,Radeon R7 M445,2016,4.0,64,780,1000,PCIe 3.0 x8,GDDR5,913
AMD,Radeon R7 M460,2016,2.0,64,1100,900,PCIe 3.0 x8,DDR3,1038
AMD,Radeon R7 M465,2016,2.0,64,1100,900,PCIe 3.0 x8,DDR3,965
AMD,Radeon R7 M465,2016,2.0,128,825,1000,PCIe 3.0 x8,GDDR5,965
AMD,Radeon R7 M465X,2016,2.0,128,900,1125,PCIe 3.0 x16,GDDR5,1624
AMD,Radeon R9 M470,2016,4.0,128,900,1500,PCIe 3.0 x16,GDDR5,2288
AMD,Radeon R9 M470X,2016,4.0,128,1000,1500,PCIe 3.0 x16,GDDR5,3400
AMD,Radeon R9 M485X,2016,8.0,256,723,1250,MXM-B (3.0),GDDR5,3204
AMD,Radeon RX 460,2016,2.0,128,1090,1750,PCIe 3.0 x8,GDDR5,4114
AMD,Radeon RX 480,2016,8.0,256,1120,2000,PCIe 3.0 x16,GDDR5,8674
NVIDIA,Tesla M10,2016,8.0,128,1033,1300,PCIe 3.0 x16,GDDR5,3490
AMD,FirePro W4170M,2015,2.0,128,825,1000,PCIe 3.0 x8,GDDR5,953
AMD,FirePro W4170M,2014,2.0,128,825,1000,PCIe 3.0 x8,GDDR5,953
AMD,FirePro W4300,2015,4.0,128,930,1500,PCIe 3.0 x16,GDDR5,2863
AMD,FirePro W5130M,2015,2.0,128,900,1000,PCIe 3.0 x16,GDDR5,1341
AMD,FirePro W6150M,2015,4.0,128,1075,1375,MXM-B (3.0),GDDR5,1515
AMD,FirePro W7170M,2015,4.0,256,723,1250,PCIe 3.0 x16,GDDR5,3162
NVIDIA,GeForce 710A,2015,2.0,128,810,901,PCIe 3.0 x16,DDR3,451
NVIDIA,GeForce 710A,2014,1.024,64,719,900,PCIe 3.0 x8,DDR3,451
NVIDIA,GeForce 710A,2013,2.0,64,775,900,PCIe 2.0 x16,DDR3,451
NVIDIA,GeForce 810M,2015,2.0,64,835,900,PCIe 3.0 x16,DDR3,402
NVIDIA,GeForce 810M,2014,1.024,64,738,900,PCIe 2.0 x16,DDR3,402
NVIDIA,GeForce 820M,2015,2.0,128,810,901,PCIe 3.0 x16,DDR3,511
NVIDIA,GeForce 820M,2013,1.024,64,625,900,PCIe 2.0 x16,DDR3,511
NVIDIA,GeForce 845M,2015,2.0,64,863,1001,PCIe 3.0 x16,DDR3,1430
NVIDIA,GeForce 845M,2015,2.0,64,1071,1253,PCIe 3.0 x8,GDDR5,1430
NVIDIA,GeForce 910M,2015,2.0,64,641,1001,PCIe 3.0 x8,DDR3,578
NVIDIA,GeForce 920A,2015,2.0,64,954,1001,PCIe 3.0 x8,DDR3,872
NVIDIA,GeForce 920M,2015,2.0,64,954,900,PCIe 3.0 x8,DDR3,723
NVIDIA,GeForce 930A,2015,2.0,64,928,1001,PCIe 3.0 x8,DDR3,1082
NVIDIA,GeForce 930M,2015,2.0,64,928,900,PCIe 3.0 x8,DDR3,1011
NVIDIA,GeForce 940A,2015,2.0,64,1072,1001,PCIe 3.0 x8,DDR3,1145
NVIDIA,GeForce 940A,2015,1.024,64,1029,1001,PCIe 3.0 x8,DDR3,1145
NVIDIA,GeForce 940M,2015,2.0,64,1020,900,MXM-B (3.0),DDR3,1106
NVIDIA,GeForce 940M,2015,2.0,64,1072,900,PCIe 3.0 x8,DDR3,1106
NVIDIA,GeForce 945A,2015,1.024,64,1006,1253,PCIe 3.0 x8,GDDR5,1852
NVIDIA,GeForce GTX 950,2015,2.0,128,1024,1653,PCIe 3.0 x16,GDDR5,5392
NVIDIA,GeForce GTX 950A,2015,2.0,128,993,1001,MXM-B (3.0),DDR3,2483
NVIDIA,GeForce GTX 950M,2015,4.0,128,993,900,PCIe 3.0 x8,DDR3,2602
NVIDIA,GeForce GTX 960,2015,2.0,128,1127,1753,PCIe 3.0 x16,GDDR5,6042
NVIDIA,GeForce GTX 960A,2015,2.0,128,1029,1253,MXM-B (3.0),GDDR5,2411
NVIDIA,GeForce GTX 960M,2015,4.0,128,1097,1253,MXM-B (3.0),GDDR5,3419
NVIDIA,GeForce GTX 980 Ti,2015,6.0,384,1000,1753,PCIe 3.0 x16,GDDR5,13864
NVIDIA,GeForce GTX TITAN X,2015,12.0,384,1000,1753,PCIe 3.0 x16,GDDR5,13173
NVIDIA,GRID M60-1Q,2015,1.024,256,557,1253,PCIe 3.0 x16,GDDR5,4251
